id,app_id,name,price,description,city,year_of_building,floor,square,renovation
1,690846770,"2-комнатная квартира, 65.7 м², 17/18 этаж, Калдаякова 23А",36 500 000〒,"🔥🔥🔥 Представляем вашему вниманию 2х-комнатную квартиру в ЖК Bravo Family(комфорт+) ✅ ЖК Bravo Family в Астане расположен на правом берегу в динамично развивающемся районе Пирамиды по улице Нажмиденова недалеко от драматического театра.    ✅ Характеристики ЖК:  🟧 Паркинг: наземный, гостевой  🟧 отопление: центральное  🟧Территория: закрытый двор, электронно-пропускная система, видеонаблюдение, детская площадка, спортивная площадка  🟧 Высота: Потолки (3м), Окна (2.2м) ✅ Квартира с новым, отличным ремонтом, хорошая планировка, комнаты изолированы, полностью меблирована, неугловая    ✅ документы в порядке, ипотеку проходит    ✅ торг!    ✅ пишите! звоните! 24/7!",Астана,2021,17 из 18,65.7 м²,хорошее
2,689139690,"2-комнатная квартира, 60.6 м², 10/20 этаж, Нажимиденова 13/1",27 500 000〒,"Пластиковые окна, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, кладовка, счётчики, тихий двор.Продается 2-х комнатная полноценная квартира, дом комфорт класса, со свежим ремонтом, в хорошем перспективном районе !  ❗️Документы в порядке, можно под ипотеку ❗️  ❗️ Поблизости имеется несколько магазинов, продуктовый супермаркет, кафе и рестораны, детский сад «Еркеназ», медицинский центр. В радиусе километра находится школа-гимназия №86, специализированная больница Astana Medical Center, аптеки и банковские отделения.  ❗️В десяти минутах езды на автомобиле расположены стоматологические клиники, салоны красоты, торгово-развлекательный центр «Абу-Даби Плаза», суши-бар, заведения быстрого питания, бары, ТРЦ «Керуен», центральный концертный зал Qazaqstan.  ❗️Среди многочисленных преимуществ ЖК стоит отметить удобную транспортную доступность. До ближайшей остановки 150 метров – по улице Ж. Нажимеденова курсируют автобусы №14 и №50. Минимальный интервал движения составляет десять минут.    На расстоянии двух километров находится железнодорожный вокзал «Нурлы Жол», а до автовокзала «Сапаржай» можно доехать на автобусе без пересадок примерно за час. Поездка на машине до международного аэропорта «Нурсултан Назарбаев» займет полчаса.",Астана,2022,10 из 20,60.6 м²,хорошее
3,688954508,"3-комнатная квартира, 80 м², 10/11 этаж, Е-435 4 — Гимназия #90",32 000 000〒,"Пластиковые окна, неугловая, новая сантехника, тихий двор.Эксклюзивное Предложение!  •Горячая цена для Левого Берега!  3 комнатная квартира в развитом районе Левого  Берега!  › ЖК ALATAU CITY Дом Комфорт класса, • Закрытый Двор, Дом на пандусе (безопасность ваших детей), в доме имеется паркинг, Большая детская площадка.  В доме 4 подьезда, Пропускная система face ID, входная дверь оборудована электронным замком.  • Во дворе школы, сады  По всем вопросам пишите/звоните в любое время",Астана,2022,10 из 11,80 м²,среднее
4,676014961,"4-комнатная квартира, 90.2 м², Анет баба 11",48 000 000〒,"Счётчики, кондиционер, встроенная кухня, тихий двор, новая сантехника, пластиковые окна, комнаты изолированы.СРОЧНО!  Цена актуальна до 7 февраля!   светлая, просторная 4-х комнатная квартира в районе Хан-Шатыр.  Детский сады, школы, образовательные центры в шаговой доступности. Просторная квартира с качественным ремонтом.  Во дворе имеется огромная игровая площадка. Отличное шумоподавления, дом очень теплый, имеется видеонаблюдения.  Высота потолков 3 метра. Имеется 2 больших балкона.  Поликлиника в 5 минутах, 2 магазина и садик находятся в доме.  Риелторов прошу не беспокоить.",Астана,2020,10,90.2 м²,хорошее
5,687940377,"2-комнатная квартира, 45 м², 4/10 этаж, 23-ая улица 7 стр",27 500 000〒,,Астана,2019,4 из 10,45 м²,
6,690696820,"1-комнатная квартира, 44.2 м², 12/16 этаж, Тауелсиздик 31/3 — Астана молл",19 499 999〒,"Продается 1-комнатная квартира.  Расположение :  Находящем в ЖК Akbulak Comfort, общей площадью 44.4 кв. м  Квартира находиться на 12 из 16 этажном доме.  Преимущества :  Очень приятный микроклимат. Летом прохладно, а зимой очень тепло.  Имеется: 1 балкон, 1 санузел, 1 зал, 1 кухня  Можно под ипотеку.  Инфраструктура :  Развитая инфраструктура дает возможность для Вашего комфортная проживание.  Поблизости расположение -Дворец школьников им Аль-Фараби, казахская федерация футбола, Astana Mall, школа лицей 70",Астана,2023,12 из 16,44.2 м²,черновая отделка
7,689640201,"1-комнатная квартира, 39 м², 9/11 этаж, Е-102 11/1 — Багланова",22 000 000〒,"Продаётся шикарная полноценная теплая 1 комнатная квартира, с отличным ремонтом. Светлая и очень теплая квартира. Ремонт делали для себя. Меблирована. Вся сантехника производства Европы. В ЖК лифты корейского производства. Большим преимуществом ЖК является локация объекта. Рядом находятся спортивные комплексы «Барыс-Арена», «Астана-Арена», а также гипермаркет Magnum, велотрек “Сарыарка”, ледовый дворец “Алау”, дворец единоборств “Жекпе-Жек”. В районе также расположено множество медицинских центров. К жилому району проложена широкая, ровная, удобная подъездная дорога. Успейте купить квартиру по очень удобной цене👌",Астана,2018,9 из 11,39 м²,хорошее
8,687702354,"2-комнатная квартира, 46 м², 4/20 этаж, Кабанбай батыра 51 — Кабанбай батыра",26 000 000〒,"Пластиковые окна, неугловая, улучшенная, комнаты изолированы, кухня-студия, новая сантехника, счётчики, тихий двор.Продается квартира в жк Galamat Towers  💯 Преимущества квартиры 💯   ▪️Дом полностью новый   ▪️Подъезды чистые, светлые   ▪️Имеет большие комнаты   ▪️Полностью меблирована   ▪️Отличная аура в квартире   ▪️Потолки 3м   🏨🏪🏩🏛 В непосредственной близости находится   ▪️Школа ALPAMYS и школа №85   ▪️Супермаркет Small   ▪️Рестораны и сети кафе Salam Bro, Wok Lagman, Ctr Chicken   ▪️Крупный ТРЦ Mega Silkway   ▪️Университет Nazarbaev University   🏠Во дворе много детских площадок для детей.  Торг за наличный расчет имеется.",Астана,2020,4 из 20,46 м²,хорошее
9,690332483,"3-комнатная квартира, 105 м², 9/12 этаж, Керей-Жанибек хандар 50 — Аль-Фараби",81 000 000〒,"Торг. Возможен обмен на 4, 5 комнатную с нашей доплатой.",Астана,2021,9 из 12,105 м²,
10,690397305,"1-комнатная квартира, 45 м², 20/23 этаж, Туран",20 400 000〒,Срочная продажа!,Астана,2015,20 из 23,45 м²,хорошее
